name,seq
achievement_categories,30165
quests,1712001
rank_ranges,4
rank_statuses,999
related_card_categories,1000868
related_link_skills,4304000
related_optimal_awakenings,713001
related_passive_skill_sets,34150046
rmbattle_bgm_patterns,1
rmbattle_help_bodies,24
rmbattle_help_categories,999
rmbattle_helps,9
rmbattle_mission_rewards,922056
rmbattle_missions,84022
rmbattles,84
score_benefits,625
sd_arenas,173
sd_battles,37
sd_characters,4025590
sd_help_bodies,15
sd_help_categories,1
sd_helps,6
sd_maps,36
sd_packs,1900
sd_stages,868
secret_treasure_boxes,56
shop_on_sale_items,93113940
shops,5
marquees,902
mission_categories,9100263
mission_category_rewards,9100263
mission_periods,911459
mission_rewards,9917828
optimal_awakening_growths,4161
passive_skill_effects,74
passive_skill_set_relations,90020001
passive_skill_sets,9002
passive_skills,43004222
points,10000003
potential_boards,225
potential_event_selection_tables,25
potential_event_selections,54
potential_events,133
potential_items,84
potential_skill_lv_values,1174
potential_skills,7
potential_square_condition_set_relations,2505
potential_square_condition_sets,788
potential_square_conditions,655
potential_square_relations,30200
potential_squares,22500335
quest_category_bonus_groups,1
quest_category_bonus_rarity_tables,100
quest_category_bonuses,175003
quest_drop_item_views,278
tips,231
title_screens,78
training_fields,13
training_items,9105
transformation_descriptions,529
transformation_type_names,29
treasure_items,91002
tutorial_phases,9000
tutorial_processes,90000
tutorial_steps,9000
ultimate_specials,89
wallpaper_items,58
wallpaper_schedules,1
z_battle_check_points,713000
z_battle_enemies,713000
z_battle_enemy_card_escalations,713000
z_battle_enemy_skill_escalations,713009
z_battle_enemy_status_escalations,713003
z_battle_first_reward_level_ranges,713000
z_battle_first_rewards,713001
z_battle_normal_reward_tables,713000
z_battle_normal_rewards,713000
z_battle_powerup_thresholds,713000
z_battle_powerup_views,8
z_battle_stage_levelup_views,5
z_battle_stage_views,713000
z_battle_stages,713
skill_causalities,3454
skill_group_relations,9000038
skill_groups,42
skill_labels,2
sound_effect_offsets,195
special_bonuses,19
special_categories,3
special_items,9999
special_packages,1000150
special_sets,9999
special_views,16207
specials,91002732
standby_skill_set_finish_skill_set_relations,42
standby_skill_sets,24
standby_skills,68
status_extensions,10
sub_target_type_sets,718
sub_target_types,1589
sugoroku_map_puzzle_colors,18
sugoroku_maps,17120015
support_films,5
support_items,90001
support_memories,500075
support_memory_enhancement_items,500074
support_memory_enhancement_levels,78
support_memory_enhancement_require_items,88
support_memory_skills,5000754
budokai_opponent_attack_weights,9234
budokai_progress_selifs,9234
budokai_ranking_gift_sets,92320
budokai_ranking_gifts,9322401
budokai_ranks,92312
budokais,923
card_active_skills,484
card_awakening_routes,10004
card_awakening_sets,99999
card_awakenings,901005
card_card_categories,91025491006
card_categories,96
card_costume_conditions,10
card_costumes,5
card_decorations,569
card_exps,2340
card_finish_skill_set_relations,42
card_growths,1310
card_motions,91580
card_specials,16855
card_standby_skill_set_relations,24
card_sticker_decoration_relations,9812
card_sticker_items,17
card_training_field_exp_up_probs,3
card_training_skill_lv_up_probs,6
card_training_skill_lvs,17
card_unique_info_set_relations,1114
achievements,1884
act_cure_schedules,1
act_items,3
active_skill_sets,292
active_skills,400
area_availables,171201
area_conditions,13
area_recommends,2
area_tabs,999
areas,10001
awakening_items,900006
battle_params,4487
bgm_schedules,33
bonus_schedules,6
boost_schedules,73
budokai_box_ranking_reward_ranges,9231201
budokai_box_ranking_rewards,92336
budokai_box_rankings,9231
budokai_help_bodies,57
budokai_help_categories,4
budokai_helps,21
budokai_leagues,9233
budokai_mission_rewards,932045
budokai_missions,923078
budokai_motivation_unlock_conditions,92312
budokai_motivations,92312
budokai_opponent_attack_weight_lines,923412
equipment_skill_limitations,198
equipment_skills,574700
eventkagi_items,1003
exchangeable_items,18
finish_skill_sets,22
finish_skills,87
finish_specials,13
forced_scripts,2175
gashas,11424
genkai_gimmick_sub_categories,19
help_bodies,90104
help_categories,15
helps,901
iap_rails_product_sales,9999
item_card_properties,13
joint_campaigns,1022
jukebox_albums,29
jukebox_tracks,908
jukebox_unlock_conditions,84
leader_skill_sets,9999999
leader_skills,590112401
level_bgs,2015
link_skill_efficacies,10041001
link_skill_lv_up_item_conditions,9
link_skill_lv_up_items,3
link_skill_lvs,100410
link_skills,1004
card_unique_infos,10108
cards,91025491
chapter_properties,6
chapters,6
characters,1450
collection_cards,3001150
collection_categories,9
collection_uniques,652
db_stories,4
dialog_bodies,3010
dialogs,3010
dokkan_field_active_skill_set_relations,12
dokkan_field_efficacies,6000007
dokkan_field_efficacy_sets,9
dokkan_field_passive_skill_relations,2
dokkan_fields,9
dot_character_growths,104012
dot_character_lv_rewards,1050
dot_characters,1039
effect_packs,1500033
enemy_ai_conditions,99999
enemy_round_skill_set_relations,138
enemy_round_skill_sets,108
enemy_round_skills,115
enemy_skills,1001090
equipment_skill_items,5747
missions,90023114
sugoroku_map_enemy_informations,17120015
