origin_battle_id,enemy_info
20010101,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000791, ""enemy_skill_ids"": [600040]}, {""card_id"": 3000611, ""enemy_skill_ids"": [600040]}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20010102,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9129591, ""enemy_skill_ids"": [600045, 2000390]}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20010131,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9129561, ""enemy_skill_ids"": [600055, 600104, 600105]}], ""round_no"": 1}, {""comment"": null, ""enemies"": [{""card_id"": 9129571, ""enemy_skill_ids"": [600055, 600104, 600105, 2000350, 2000490]}], ""round_no"": 2}]}], ""display_type"": ""normal""}"
20010201,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9028581, ""enemy_skill_ids"": [600045, 600104, 600105]}], ""round_no"": 1}, {""comment"": null, ""enemies"": [{""card_id"": 9001291, ""enemy_skill_ids"": [600045, 600104, 600105, 2000570, 2000520]}], ""round_no"": 2}]}], ""display_type"": ""normal""}"
20010202,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9001291, ""enemy_skill_ids"": [600050, 600104, 600105, 2000360]}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20010203,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9022991, ""enemy_skill_ids"": [600050, 600104, 600105, 2000400]}], ""round_no"": 1}, {""comment"": null, ""enemies"": [{""card_id"": 9501531, ""enemy_skill_ids"": [600055, 600104, 600105, 2000400]}], ""round_no"": 2}]}], ""display_type"": ""normal""}"
20010301,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9501531, ""enemy_skill_ids"": [600055, 600104, 600105, 2000400]}], ""round_no"": 1}, {""comment"": null, ""enemies"": [{""card_id"": 9601531, ""enemy_skill_ids"": [600050, 600104, 600105, 2000380, 2000410]}], ""round_no"": 2}]}], ""display_type"": ""normal""}"
20010302,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9113061, ""enemy_skill_ids"": [600060, 600104, 600220, 2000530, 2000440]}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20010303,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9000521, ""enemy_skill_ids"": [600050, 600104, 600105]}], ""round_no"": 1}, {""comment"": null, ""enemies"": [{""card_id"": 9113011, ""enemy_skill_ids"": [600055, 600104, 600105, 2000310, 2000470]}], ""round_no"": 2}, {""comment"": null, ""enemies"": [{""card_id"": 9001301, ""enemy_skill_ids"": [600055, 600104, 600105, 2000100, 2000300, 2000450, 2000510]}], ""round_no"": 3}]}], ""display_type"": ""normal""}"
20010304,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9013001, ""enemy_skill_ids"": [600050, 600104, 600105, 2000610]}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20010305,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9423731, ""enemy_skill_ids"": [600050, 600104, 600105, 2000580]}], ""round_no"": 1}, {""comment"": null, ""enemies"": [{""card_id"": 9113051, ""enemy_skill_ids"": [600050, 600104, 600105, 2000600, 2000520]}], ""round_no"": 2}]}], ""display_type"": ""normal""}"
20010331,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9122941, ""enemy_skill_ids"": [600050, 600104, 600105, 2000520, 2000560]}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20010332,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9114991, ""enemy_skill_ids"": [600050, 600103, 600104, 600105, 2000590]}], ""round_no"": 1}, {""comment"": null, ""enemies"": [{""card_id"": 9222941, ""enemy_skill_ids"": [600050, 600103, 600104, 600105, 2000540, 2000550]}], ""round_no"": 2}]}], ""display_type"": ""normal""}"
20010401,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9323771, ""enemy_skill_ids"": [600050, 600103, 600104, 600105, 2000370, 2000460]}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20010431,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 9200051, ""enemy_skill_ids"": [600055, 600104, 600105, 2000520, 2000320, 2000330, 2000340]}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
