name,seq
achievement_categories,30157
achievements,1805
act_cure_schedules,1
act_items,3
areas,10001
area_recommends,580
active_skill_sets,259
active_skills,338
area_conditions,13
area_tabs,999
awakening_items,900006
battle_params,4232
bgm_schedules,29
boost_schedules,51
budokais,1022
budokai_box_rankings,10221
budokai_box_ranking_rewards,102236
budokai_box_ranking_reward_ranges,10221201
budokai_helps,21
budokai_help_bodies,56
budokai_help_categories,4
budokai_leagues,10223
budokai_missions,1022086
budokai_mission_rewards,1022086
budokai_motivations,102212
budokai_motivation_unlock_conditions,102212
budokai_ranks,102212
budokai_ranking_gifts,10222601
budokai_ranking_gift_sets,102226
budokai_opponent_attack_weights,10224
budokai_opponent_attack_weight_lines,1022412
budokai_progress_selifs,10224
card_active_skills,414
card_awakening_routes,6924
card_awakening_sets,4597
card_awakenings,5347
card_card_categories,91025491006
card_categories,94
card_costumes,5
card_costume_conditions,10
card_decorations,552
card_exps,2340
card_growths,1310
card_unique_infos,10107
card_unique_info_set_relations,984
card_motions,4160
card_specials,15486
card_sticker_decoration_relations,9792
card_sticker_items,17
card_training_skill_lvs,16
card_training_skill_lv_up_probs,6
card_training_field_exp_up_probs,3
cards,91025491
chapters,6
chapter_properties,6
characters,1424
collection_categories,9
collection_uniques,631
collection_cards,3001150
db_stories,4
dialogs,3010
dialog_bodies,3010
dokkan_fields,7
dokkan_field_efficacies,6000007
dokkan_field_efficacy_sets,7
dokkan_field_active_skill_set_relations,10
dokkan_field_passive_skill_relations,1
dot_characters,1036
dot_character_growths,104012
dot_character_lv_rewards,1050
effect_packs,1500031
enemy_ai_conditions,99999
enemy_round_skills,96
enemy_round_skill_sets,94
enemy_round_skill_set_relations,122
enemy_skills,1001090
equipment_skill_items,4811
equipment_skill_limitations,164
equipment_skills,481101
eventkagi_items,1001
exchangeable_items,11
forced_scripts,984
genkai_gimmick_sub_categories,19
related_card_categories,1000868
related_passive_skill_sets,34150046
related_link_skills,4304000
helps,901
help_bodies,90104
help_categories,15
item_card_properties,13
jukebox_albums,25
jukebox_tracks,908
jukebox_unlock_conditions,72
leader_skill_sets,9999999
leader_skills,590112401
level_bgs,2008
link_skills,1004
link_skill_lvs,100410
link_skill_lv_up_items,3
link_skill_lv_up_item_conditions,9
link_skill_efficacies,10041001
marquees,165
mission_categories,130217
mission_category_rewards,694
missions,51500233
mission_boards,5
mission_board_campaigns,1001
mission_rewards,45324
mission_periods,1917
optimal_awakening_growths,3955
passive_skills,43004222
passive_skill_effects,63
passive_skill_sets,4265
passive_skill_set_relations,42650009
points,10000003
potential_items,84
potential_boards,225
potential_squares,22500335
potential_events,133
potential_event_selection_tables,25
potential_event_selections,54
potential_square_condition_sets,788
potential_square_condition_set_relations,2505
potential_square_conditions,655
potential_square_relations,30200
potential_skills,7
potential_skill_lv_values,1174
quests,1508001
quest_category_bonuses,844
quest_category_bonus_groups,1
quest_category_bonus_rarity_tables,100
quest_drop_item_views,262
rank_ranges,4
rank_statuses,999
related_optimal_awakenings,706001
rmbattle_bgm_patterns,1
rmbattle_helps,9
rmbattle_help_bodies,24
rmbattle_help_categories,999
rmbattle_missions,80023
rmbattle_mission_rewards,80061
score_benefits,622
sd_arenas,163
sd_characters,4025590
sd_packs,1800
sd_maps,34
sd_stages,816
sd_helps,6
sd_help_bodies,15
sd_help_categories,1
shops,5
skill_causalities,3290
skill_groups,42
skill_group_relations,32530
skill_labels,2
sound_effect_offsets,195
specials,3005301
special_bonuses,19
special_items,171
special_categories,3
special_sets,9999
special_views,15315
status_extensions,10
sub_target_type_sets,630
sub_target_types,1363
sugoroku_maps,15080014
sugoroku_map_puzzle_colors,18
support_films,5
support_items,90001
support_memories,500075
support_memory_enhancement_items,500074
support_memory_enhancement_levels,70
support_memory_enhancement_require_items,80
support_memory_skills,5000754
card_standby_skill_set_relations,24
standby_skill_sets,24
standby_skills,68
card_finish_skill_set_relations,42
finish_skill_sets,22
finish_specials,13
finish_skills,105
standby_skill_set_finish_skill_set_relations,42
tips,221
title_screens,60
transformation_descriptions,482
transformation_type_names,27
training_fields,13
training_items,5004
treasure_items,7400
tutorial_phases,9000
tutorial_steps,9000
tutorial_processes,90000
ultimate_specials,75
wallpaper_items,52
z_battle_check_points,706000
z_battle_enemies,706000
z_battle_enemy_card_escalations,706000
z_battle_enemy_skill_escalations,706009
z_battle_enemy_status_escalations,706003
z_battle_first_rewards,706001
z_battle_first_reward_level_ranges,706000
z_battle_normal_reward_tables,706000
z_battle_normal_rewards,706000
z_battle_stages,706
z_battle_powerup_thresholds,706000
z_battle_powerup_views,8
z_battle_stage_levelup_views,5
z_battle_stage_views,706000
